date,AAPL,AMZN,GOOGL,FB,GM,AMD,MSFT,MCD,MMM,SHLD,WMT,INTC
2017-10-23,156.17,156.17,966.3,985.54,171.27,45.15,14.1,78.433014388489,163.34,209.40594765631,6.56,88.65
2017-10-20,156.16,156.16,982.91,1005.07,174.98,45.61,13.81,78.413115107914,166.3,208.57078957051,6.55,87.44
2017-10-19,155.98,155.98,986.61,1001.84,174.56,45.35,13.95,77.517647482014,166.5,211.384476931,6.06,86.4
2017-10-18,159.76,159.76,997.0,1012.74,176.03,45.12,14.07,77.219158273381,165.77,211.67280531777,6.05,86.22
2017-10-17,160.47,160.47,1009.13,1011.0,176.11,45.02,14.16,77.199258992806,165.4,210.99672496259,5.79,85.98
2017-10-16,159.88,159.88,1006.34,1009.35,174.52,45.76,14.26,77.258956834532,165.01,211.63303588511,5.99,85.74
2017-10-13,156.99,156.99,1002.94,1007.87,173.74,45.88,14.22,77.099762589928,165.37,212.13015379332,6.77,86.62
2017-10-12,156.0,156.0,1000.93,1005.65,172.55,44.89,14.2,76.731625899281,163.91,212.13015379332,6.2,86.1
2017-10-11,156.55,156.55,995.0,1005.65,172.74,45.47,13.88,76.035151079137,163.15,212.01084549535,6.24,85.73
2017-10-10,155.9,155.9,987.2,987.8,171.59,45.21,13.7,75.905805755396,160.58,210.07208565331,6.7,84.13
2017-10-09,155.84,155.84,990.99,992.31,172.5,45.33,13.47,75.905805755396,160.12,208.79946380829,7.08,80.53
2017-10-06,155.3,155.3,989.58,993.64,172.23,44.93,13.23,75.61726618705,159.6,207.9046515735,7.11,79.0
2017-10-05,155.39,155.39,980.85,985.19,171.24,43.85,13.34,75.587417266187,158.8,206.19456596924,7.29,79.41
2017-10-04,153.4508,153.4508,965.45,966.78,168.42,43.78,13.31,74.313863309353,157.21,205.73721749368,7.19,79.09
2017-10-03,154.48,154.48,957.1,972.08,169.96,43.45,13.42,73.886028776978,156.86,204.75292403542,7.08,79.22
2017-10-02,153.81,153.81,959.19,967.47,169.47,42.15,12.71,74.23426618705,156.96,203.82828472614,7.08,78.45
2017-09-29,154.12,154.12,961.35,973.72,170.81,40.38,12.75,74.114870503597,156.68,204.22597905271,7.3,78.14
2017-09-28,153.28,153.28,956.4,964.81,168.73,40.58,12.74,73.497992805755,157.49,205.03131006402,7.59,78.95
2017-09-27,154.23,154.23,950.87,959.9,167.68,40.58,12.74,73.47809352518,154.05,205.50854325591,7.28,79.29
2017-09-26,153.14,153.14,938.6,937.43,164.21,40.26,12.45,72.891064748201,153.35,203.1720890873,7.16,79.39
2017-09-25,150.55,150.55,939.79,934.28,162.87,40.3,12.61,72.891064748201,156.26,203.29139738527,7.14,79.15
2017-09-22,151.89,151.89,955.1,943.26,170.54,39.42,13.3,74.035273381295,158.91,201.27309867792,7.11,79.53
2017-09-21,153.39,153.39,964.65,947.55,171.11,39.1,13.41,73.83628057554,159.03,199.51330128284,7.05,80.01
2017-09-20,156.07,156.07,973.21,947.54,172.17,38.88,13.76,74.562604316547,159.88,198.38981481027,7.21,80.5
2017-09-19,158.73,158.73,969.86,936.86,172.52,38.7,13.12,75.060086330935,157.43,196.35163138659,7.26,80.05
2017-09-18,158.67,158.67,974.19,929.75,170.01,38.59,13.08,74.781496402878,156.68,196.59024798254,7.52,80.0
2017-09-15,159.88,159.88,986.79,935.29,171.58,38.88,12.52,74.930741007194,156.92,197.36575191935,7.65,80.38
2017-09-14,158.28,158.28,992.21,940.13,170.96,38.79,12.26,74.393460431655,157.0,194.67137285683,7.58,79.68
2017-09-13,159.65,159.65,999.6,950.44,173.05,38.21,12.22,74.831244604317,157.0,194.11460079963,7.69,79.86
2017-09-12,160.82,160.82,982.58,946.65,172.96,37.89,12.3,74.303913669065,156.33,193.71690647306,7.62,79.61
2017-09-11,161.5,161.5,977.96,943.29,173.51,37.35,12.55,74.383510791367,161.53,195.58968936093,7.52,79.08
2017-09-08,158.63,158.63,965.9,941.41,170.95,37.0,12.25,73.607438848921,159.71,195.31297210045,7.63,78.88
2017-09-07,161.26,161.26,979.47,949.89,173.21,36.91,12.63,73.965625899281,159.9,194.26539961436,7.89,80.12
2017-09-06,161.91,161.91,967.8,942.02,172.09,37.286127648163,12.85,73.03035971223,158.22,194.44328928181,7.73,80.08
